Date,^BVSP,Variação_Diária_%
2021-03-09,111331.0,0.6500198893429232
2021-03-10,112776.0,1.297931393771723
2021-03-11,114984.0,1.9578633751862196
2021-03-12,114160.0,-0.7166214429833673
2021-03-15,114851.0,0.6052908199018825
2021-03-16,114019.0,-0.7244168531401529
2021-03-17,116549.0,2.2189284242100094
2021-03-18,114835.0,-1.470626088597926
2021-03-19,116222.0,1.2078199155309832
2021-03-22,114979.0,-1.06950491301131
2021-03-23,113262.0,-1.4933161707790132
2021-03-24,112064.0,-1.0577245678162095
2021-03-25,113750.0,1.504497430039975
2021-03-26,114781.0,0.9063736263736244
2021-03-29,115419.0,0.5558411235308869
2021-03-30,116850.0,1.2398305305019175
2021-03-31,116634.0,-0.1848523748395392
2021-04-01,115253.0,-1.1840458185434777
2021-04-05,117518.0,1.9652416856827948
2021-04-06,117499.0,-0.016167736006400535
2021-04-07,117624.0,0.10638388411816635
2021-04-08,118313.0,0.5857648099027335
2021-04-09,117670.0,-0.5434736673062157
2021-04-12,118812.0,0.9705107504036636
2021-04-13,119297.0,0.4082079251254145
2021-04-14,120295.0,0.8365675582789223
2021-04-15,120701.0,0.3375036368926443
2021-04-16,121114.0,0.34216783622340596
2021-04-19,120934.0,-0.1486203081394355
2021-04-20,120062.0,-0.7210544594572266
2021-04-22,119371.0,-0.5755359730805765
2021-04-23,120530.0,0.9709225858876902
2021-04-26,120595.0,0.053928482535470224
2021-04-27,119388.0,-1.00087068286413
2021-04-28,121053.0,1.394612523871741
2021-04-29,120066.0,-0.8153453446011261
2021-04-30,118894.0,-0.976129795279268
2021-05-03,119209.0,0.26494188100325555
2021-05-04,117712.0,-1.255777667793534
2021-05-05,119564.0,1.5733315210004095
2021-05-06,119921.0,0.2985848583185513
2021-05-07,122038.0,1.7653288414873014
2021-05-10,121909.0,-0.10570478047821075
2021-05-11,122964.0,0.8653996013419762
2021-05-12,119710.0,-2.6463029829868923
2021-05-13,120706.0,0.8320106925068904
2021-05-14,121881.0,0.9734395970374399
2021-05-17,122938.0,0.8672393564214342
2021-05-18,122980.0,0.03416356212073701
2021-05-19,122636.0,-0.2797202797202747
2021-05-20,122701.0,0.05300238103003174
2021-05-21,122592.0,-0.08883383183511118
2021-05-24,124032.0,1.1746280344557603
2021-05-25,122988.0,-0.8417182662538658
2021-05-26,123989.0,0.8139005431424096
2021-05-27,124367.0,0.3048657542201294
2021-05-28,125561.0,0.9600617527157462
2021-05-31,126216.0,0.5216587953265739
2021-06-01,128267.0,1.6249920770742277
